review_id,product_id,brand,star_rating,sentiment,review_text,review_date,wheels_score,handle_score,zipper_score,material_score,size_score,durability_score
REV000016,PROD0001,Safari,5,positive,"Great build quality, exactly what I needed for my travels.",2025-10-11,4.9,2.7,2.5,3.0,3.5,3.9
REV000017,PROD0001,Safari,4,positive,Really impressed with the wheels. Worth every rupee.,2026-01-13,4.5,3.0,3.5,3.7,3.7,3.3
REV000018,PROD0001,Safari,5,positive,Really impressed with the spacious. Worth every rupee.,2024-05-23,4.3,3.0,3.8,3.7,2.7,3.9
REV000019,PROD0001,Safari,5,positive,wheels is top notch. Will buy again.,2024-04-06,3.8,3.3,3.5,3.4,3.9,3.7
REV000020,PROD0001,Safari,5,positive,Really impressed with the wheels. Worth every rupee.,2025-05-05,3.9,3.2,3.6,3.4,3.5,3.0
REV000021,PROD0001,Safari,5,positive,The durable material works perfectly. Highly recommended!,2025-09-26,4.0,2.9,2.9,3.4,3.8,3.3
REV000022,PROD0001,Safari,4,positive,wheels is top notch. Will buy again.,2026-01-03,4.2,3.6,3.5,3.5,3.2,3.7
REV000023,PROD0001,Safari,4,positive,Superb wheels! My family loved it.,2025-02-10,4.5,3.1,3.3,3.0,4.0,3.3
REV000024,PROD0001,Safari,5,positive,Superb spacious! My family loved it.,2025-06-27,3.8,3.6,3.0,3.6,3.9,3.5
REV000025,PROD0001,Safari,5,positive,Really impressed with the spacious. Worth every rupee.,2025-06-21,4.7,2.9,3.0,3.0,3.6,2.7
REV000026,PROD0001,Safari,4,positive,"Great spacious, exactly what I needed for my travels.",2024-09-11,4.5,3.6,2.7,2.5,2.9,3.2
REV000027,PROD0001,Safari,4,positive,Really impressed with the durable material. Worth every rupee.,2025-07-16,4.7,3.1,2.6,3.4,2.6,2.7
REV000028,PROD0001,Safari,5,positive,Really impressed with the wheels. Worth every rupee.,2026-01-03,4.3,3.1,3.4,3.4,3.7,3.1
REV000029,PROD0001,Safari,3,neutral,Not great not terrible. limited colors meets basic needs.,2025-05-31,4.0,3.4,3.4,3.6,3.9,2.8
REV000030,PROD0001,Safari,4,positive,"Great wheels, exactly what I needed for my travels.",2025-10-22,4.3,2.7,3.1,3.5,3.2,2.5
REV000031,PROD0001,Safari,5,positive,Really impressed with the durable material. Worth every rupee.,2024-04-11,4.5,3.9,3.7,3.4,3.5,3.9
REV000032,PROD0001,Safari,4,positive,Superb wheels! My family loved it.,2024-06-06,4.7,2.6,2.7,3.0,3.6,3.4
REV000033,PROD0001,Safari,4,positive,spacious is top notch. Will buy again.,2024-12-07,4.9,3.3,3.2,2.6,2.6,3.1
REV000034,PROD0001,Safari,5,positive,The build quality works perfectly. Highly recommended!,2026-03-05,4.9,3.8,3.4,3.9,4.0,3.5
REV000035,PROD0001,Safari,4,positive,"Ordered for Goa trip, durable material exceeded expectations.",2025-10-03,4.5,3.9,2.8,3.4,3.5,3.2
REV000036,PROD0001,Safari,5,positive,Amazing spacious for this price range. Value for money!,2025-02-06,4.5,3.8,3.0,3.5,2.9,3.9
REV000037,PROD0001,Safari,3,neutral,Not great not terrible. zipper quality meets basic needs.,2024-09-14,3.6,2.9,2.7,3.7,3.8,3.7
REV000038,PROD0001,Safari,5,positive,The build quality works perfectly. Highly recommended!,2025-02-01,4.3,3.4,3.2,3.2,2.6,2.9
REV000039,PROD0001,Safari,5,positive,Really impressed with the durable material. Worth every rupee.,2025-01-07,3.5,3.4,3.7,3.6,3.0,2.5
REV000040,PROD0001,Safari,4,positive,Really impressed with the durable material. Worth every rupee.,2025-12-05,4.5,2.7,3.9,2.9,3.6,3.1
REV000041,PROD0001,Safari,5,positive,"Ordered for Goa trip, durable material exceeded expectations.",2025-07-25,3.7,2.8,3.4,3.6,2.7,2.6
REV000042,PROD0001,Safari,2,negative,Regret buying this. limited colors is very bad.,2025-04-17,4.7,2.9,2.9,3.4,4.0,3.2
REV000043,PROD0001,Safari,5,positive,"Ordered for Goa trip, spacious exceeded expectations.",2025-04-12,4.6,3.1,3.9,3.8,4.0,2.9
REV000044,PROD0001,Safari,5,positive,"Used it for 3 trips, spacious still perfect.",2026-02-15,4.6,3.7,3.1,3.5,3.7,4.0
REV000045,PROD0001,Safari,4,positive,Really impressed with the spacious. Worth every rupee.,2025-11-22,4.8,3.2,3.3,3.2,3.6,3.1
REV000046,PROD0001,Safari,1,negative,Regret buying this. weight is very bad.,2026-01-14,4.0,3.5,3.5,3.8,3.8,3.8
REV000047,PROD0001,Safari,5,positive,"Ordered for Goa trip, durable material exceeded expectations.",2024-06-28,3.6,2.6,3.4,3.9,4.0,3.6
REV000048,PROD0001,Safari,4,positive,"Used it for 3 trips, build quality still perfect.",2024-06-21,3.7,2.9,2.5,3.0,2.6,3.0
REV000049,PROD0001,Safari,4,positive,Best luggage for the price! durable material is outstanding.,2024-10-04,4.5,2.8,2.8,3.4,3.1,3.5
REV000050,PROD0001,Safari,4,positive,Superb durable material! My family loved it.,2025-08-06,4.2,3.5,3.8,3.2,2.9,3.3
REV000051,PROD0001,Safari,5,positive,spacious is top notch. Will buy again.,2024-08-07,4.5,3.2,3.0,4.0,3.8,2.7
REV000052,PROD0001,Safari,5,positive,Superb spacious! My family loved it.,2024-08-20,3.5,3.7,3.1,2.5,3.8,3.7
REV000053,PROD0001,Safari,3,neutral,Not great not terrible. limited colors meets basic needs.,2024-07-19,4.7,3.9,3.7,2.8,3.7,2.8
REV000054,PROD0001,Safari,5,positive,Really impressed with the wheels. Worth every rupee.,2024-05-06,4.9,3.5,3.0,3.2,3.4,3.6
REV000055,PROD0001,Safari,5,positive,"Great durable material, exactly what I needed for my travels.",2025-05-01,3.8,3.7,3.8,3.0,3.3,2.9
REV000056,PROD0001,Safari,5,positive,Really impressed with the spacious. Worth every rupee.,2025-06-02,4.2,2.6,3.6,2.8,3.5,3.5
REV000057,PROD0001,Safari,5,positive,The durable material is excellent! Very happy with this purchase.,2025-12-29,3.9,2.7,3.1,3.6,2.9,3.1
REV000058,PROD0001,Safari,5,positive,"Used it for 3 trips, wheels still perfect.",2025-12-11,3.5,3.8,3.3,3.9,2.8,2.6
REV000059,PROD0001,Safari,3,neutral,Not great not terrible. weight meets basic needs.,2024-04-13,3.7,2.6,2.6,4.0,2.7,2.9
REV000060,PROD0001,Safari,5,positive,"Ordered for Goa trip, spacious exceeded expectations.",2024-12-22,4.1,3.6,2.7,3.1,2.6,3.2
REV000061,PROD0001,Safari,5,positive,The spacious works perfectly. Highly recommended!,2026-02-26,4.2,3.9,3.8,2.6,3.5,3.3
REV000062,PROD0001,Safari,3,neutral,Not great not terrible. zipper quality meets basic needs.,2025-03-29,3.9,4.0,3.9,3.7,2.6,2.8
REV000063,PROD0001,Safari,4,positive,The spacious works perfectly. Highly recommended!,2026-02-08,5.0,3.7,2.8,3.7,3.3,3.4
REV000064,PROD0001,Safari,3,neutral,Average quality. weight could be better.,2025-08-05,4.7,3.4,2.9,4.0,4.0,3.3
REV000065,PROD0001,Safari,1,negative,Poor quality zipper quality. Expected better for this price.,2024-05-24,3.5,3.7,2.9,3.0,2.8,2.6
REV000066,PROD0001,Safari,1,negative,weight broke during my very first trip. Very upset.,2026-01-25,4.7,3.3,2.7,3.3,3.9,2.6
REV000067,PROD0001,Safari,2,negative,Very disappointed with the limited colors. Broke after first use.,2024-12-17,3.6,3.2,3.1,3.5,3.2,3.9
REV000068,PROD0001,Safari,4,positive,Really impressed with the wheels. Worth every rupee.,2025-05-06,3.7,3.4,3.4,3.6,3.1,3.4
REV000069,PROD0001,Safari,5,positive,"Ordered for Goa trip, build quality exceeded expectations.",2025-12-20,4.6,2.8,3.2,2.8,3.0,3.2
REV000070,PROD0001,Safari,4,positive,Amazing durable material for this price range. Value for money!,2025-05-15,4.5,3.1,2.7,3.9,2.6,3.7
REV000071,PROD0001,Safari,4,positive,"Ordered for Goa trip, wheels exceeded expectations.",2025-03-15,3.6,3.9,3.3,3.5,3.1,3.8
REV000072,PROD0001,Safari,3,neutral,Decent product overall. limited colors is okay.,2025-01-22,5.0,3.4,3.0,3.4,2.8,3.5
REV000073,PROD0001,Safari,4,positive,Really impressed with the spacious. Worth every rupee.,2025-04-07,4.6,3.4,3.7,3.8,4.0,3.7
REV000074,PROD0001,Safari,4,positive,The spacious is excellent! Very happy with this purchase.,2024-07-16,3.8,3.6,3.0,3.0,2.5,3.8
REV000075,PROD0001,Safari,5,positive,The wheels is excellent! Very happy with this purchase.,2026-01-19,3.6,3.3,3.1,3.2,2.7,3.0
REV000076,PROD0001,Safari,4,positive,"Great wheels, exactly what I needed for my travels.",2026-02-06,4.6,2.6,2.6,3.2,3.1,3.4
REV000077,PROD0001,Safari,4,positive,Amazing build quality for this price range. Value for money!,2024-10-23,4.1,2.9,3.5,3.2,3.5,2.6
REV000078,PROD0001,Safari,4,positive,Superb wheels! My family loved it.,2026-03-24,4.9,3.7,3.6,2.9,2.7,3.2
REV000079,PROD0001,Safari,4,positive,"Ordered for Goa trip, wheels exceeded expectations.",2025-03-07,4.3,3.5,3.0,3.1,3.6,3.2
REV000080,PROD0001,Safari,4,positive,Best luggage for the price! durable material is outstanding.,2025-05-15,4.1,3.5,2.9,3.1,3.9,2.8
REV000081,PROD0001,Safari,3,neutral,Good for occasional use. limited colors is acceptable.,2024-12-15,3.6,3.8,2.9,3.4,3.3,3.1
REV000082,PROD0001,Safari,5,positive,"Great spacious, exactly what I needed for my travels.",2025-08-17,3.6,3.4,3.3,2.8,3.7,3.0
REV000083,PROD0001,Safari,3,neutral,Average quality. zipper quality could be better.,2024-06-09,3.7,2.9,2.8,2.7,3.6,2.6
REV000084,PROD0001,Safari,3,neutral,Not great not terrible. weight meets basic needs.,2024-06-26,4.6,3.6,3.2,3.9,3.3,3.5
REV000085,PROD0001,Safari,5,positive,Really impressed with the durable material. Worth every rupee.,2025-10-28,4.2,3.4,3.7,3.4,3.0,2.6
REV000086,PROD0001,Safari,4,positive,Superb spacious! My family loved it.,2026-02-01,3.6,3.8,3.8,3.4,3.3,3.2
REV000087,PROD0001,Safari,4,positive,Amazing wheels for this price range. Value for money!,2024-12-26,4.4,3.3,3.9,3.2,3.7,3.8
REV000088,PROD0001,Safari,3,neutral,Average quality. limited colors could be better.,2026-01-04,3.6,3.6,4.0,3.3,3.4,3.0
REV000089,PROD0002,Safari,5,positive,Amazing build quality for this price range. Value for money!,2024-05-05,3.6,2.6,3.5,2.9,3.6,3.5
REV000090,PROD0002,Safari,3,neutral,Decent product overall. weight is okay.,2025-10-29,4.4,2.7,3.0,4.0,3.5,3.1
REV000091,PROD0002,Safari,1,negative,Customer service is bad and limited colors quality is poor.,2025-05-18,4.5,3.0,2.7,3.6,3.9,4.0
REV000092,PROD0002,Safari,3,neutral,Not great not terrible. limited colors meets basic needs.,2025-12-26,4.3,2.5,3.0,3.9,3.0,3.6
REV000093,PROD0002,Safari,4,positive,Superb build quality! My family loved it.,2025-10-24,4.8,2.7,3.7,3.8,3.8,2.6
REV000094,PROD0002,Safari,4,positive,"Great durable material, exactly what I needed for my travels.",2024-07-28,3.7,3.7,3.7,3.7,2.7,3.2
REV000095,PROD0002,Safari,4,positive,"Used it for 3 trips, spacious still perfect.",2025-01-01,3.9,2.9,3.9,3.7,3.9,2.8
REV000096,PROD0002,Safari,2,negative,Customer service is bad and weight quality is poor.,2024-12-14,4.3,3.1,2.7,2.8,3.4,3.8
REV000097,PROD0002,Safari,5,positive,"Ordered for Goa trip, build quality exceeded expectations.",2025-03-16,4.8,2.9,3.6,2.9,3.9,2.7
REV000098,PROD0002,Safari,4,positive,The spacious is excellent! Very happy with this purchase.,2024-12-25,4.1,3.1,3.1,3.1,2.6,2.8
REV000099,PROD0002,Safari,4,positive,"Great spacious, exactly what I needed for my travels.",2024-06-04,3.7,2.9,3.7,3.5,2.7,3.6
REV000100,PROD0002,Safari,4,positive,Superb build quality! My family loved it.,2026-01-09,3.8,2.7,3.9,3.4,3.1,3.7
REV000101,PROD0002,Safari,4,positive,wheels is top notch. Will buy again.,2026-02-11,4.5,3.4,2.6,3.8,3.2,3.3
REV000102,PROD0002,Safari,1,negative,Customer service is bad and weight quality is poor.,2025-11-04,3.5,3.0,3.4,2.8,3.5,3.3
REV000103,PROD0002,Safari,4,positive,The durable material is excellent! Very happy with this purchase.,2025-02-25,4.5,4.0,2.9,2.5,3.7,3.0
REV000104,PROD0002,Safari,1,negative,Returned the product. limited colors was defective.,2024-08-13,3.7,3.0,3.0,3.5,3.7,3.5
REV000105,PROD0002,Safari,3,neutral,Average quality. limited colors could be better.,2024-11-26,4.7,2.6,3.7,3.2,2.9,2.6
REV000106,PROD0002,Safari,4,positive,"Ordered for Goa trip, spacious exceeded expectations.",2025-05-12,4.1,3.7,3.2,2.6,3.5,2.9
REV000107,PROD0002,Safari,3,neutral,Good for occasional use. limited colors is acceptable.,2026-02-11,3.9,3.7,3.2,3.1,3.2,3.9
REV000108,PROD0002,Safari,4,positive,Amazing durable material for this price range. Value for money!,2024-11-08,4.9,3.3,3.7,3.6,2.6,3.4
REV000109,PROD0002,Safari,3,neutral,Good for occasional use. weight is acceptable.,2024-09-19,3.7,3.0,2.9,3.2,3.6,2.7
REV000110,PROD0002,Safari,5,positive,Best luggage for the price! spacious is outstanding.,2026-02-16,5.0,2.9,4.0,3.9,2.6,3.5
REV000111,PROD0002,Safari,4,positive,Best luggage for the price! wheels is outstanding.,2026-02-28,4.5,3.2,2.7,2.9,3.5,3.0
REV000112,PROD0002,Safari,3,neutral,Average quality. limited colors could be better.,2026-02-26,4.5,3.9,3.1,3.6,3.4,3.3
REV000113,PROD0002,Safari,5,positive,The build quality is excellent! Very happy with this purchase.,2025-07-19,4.6,3.2,3.1,3.3,2.9,2.9
REV000114,PROD0002,Safari,5,positive,The durable material works perfectly. Highly recommended!,2024-04-20,3.7,3.8,3.2,3.8,3.2,2.6
REV000115,PROD0002,Safari,2,negative,The weight is terrible. Do not buy!,2024-05-17,4.3,2.9,2.9,2.7,3.6,3.6
REV000116,PROD0002,Safari,5,positive,Really impressed with the wheels. Worth every rupee.,2024-10-27,5.0,3.7,2.9,3.2,3.0,3.4
REV000117,PROD0002,Safari,4,positive,Really impressed with the build quality. Worth every rupee.,2024-07-13,4.0,4.0,3.6,3.3,3.7,3.7
REV000118,PROD0002,Safari,5,positive,"Used it for 3 trips, build quality still perfect.",2024-06-12,4.2,3.3,2.7,3.7,3.3,3.4
REV000119,PROD0002,Safari,3,neutral,Okay product for the price. weight is standard.,2025-11-19,4.9,2.6,2.7,2.7,2.7,3.0
REV000120,PROD0002,Safari,2,negative,The weight is terrible. Do not buy!,2024-10-16,3.9,3.5,3.3,2.7,3.0,3.3
REV000121,PROD0002,Safari,1,negative,Poor quality limited colors. Expected better for this price.,2024-08-02,3.8,3.4,3.9,3.0,3.9,2.6
REV000122,PROD0002,Safari,3,neutral,Okay product for the price. zipper quality is standard.,2026-01-07,3.9,2.8,3.4,3.4,2.5,3.8
REV000123,PROD0002,Safari,2,negative,Customer service is bad and zipper quality quality is poor.,2024-11-22,3.9,2.6,2.6,3.2,3.2,2.8
REV000124,PROD0002,Safari,2,negative,Returned the product. limited colors was defective.,2025-05-09,5.0,2.7,3.1,3.3,3.0,3.2
REV000125,PROD0002,Safari,4,positive,The build quality is excellent! Very happy with this purchase.,2025-11-07,3.9,3.1,3.4,2.9,3.8,2.7
REV000126,PROD0002,Safari,5,positive,"Used it for 3 trips, wheels still perfect.",2025-09-18,5.0,3.2,3.8,3.2,2.6,3.1
REV000127,PROD0002,Safari,4,positive,The spacious is excellent! Very happy with this purchase.,2025-08-23,3.6,3.2,3.8,3.5,3.2,3.3
REV000128,PROD0002,Safari,3,neutral,Good for occasional use. zipper quality is acceptable.,2025-01-14,4.6,3.6,3.0,3.1,3.4,2.8
REV000129,PROD0002,Safari,1,negative,limited colors broke during my very first trip. Very upset.,2025-03-01,4.6,2.9,4.0,3.5,2.7,4.0
REV000130,PROD0002,Safari,5,positive,"Great spacious, exactly what I needed for my travels.",2024-09-06,3.8,3.3,3.3,2.6,2.7,3.0
REV000131,PROD0002,Safari,5,positive,Amazing wheels for this price range. Value for money!,2025-10-30,4.9,3.0,3.1,3.4,3.8,3.4
REV000132,PROD0002,Safari,2,negative,Regret buying this. limited colors is very bad.,2024-04-05,4.2,2.5,3.0,2.7,3.1,3.0
REV000133,PROD0002,Safari,3,neutral,Decent product overall. limited colors is okay.,2024-04-26,4.4,2.9,3.5,4.0,3.4,2.8
REV000134,PROD0002,Safari,5,positive,"Great durable material, exactly what I needed for my travels.",2025-10-08,4.7,2.9,3.4,3.6,2.8,3.2
REV000135,PROD0002,Safari,5,positive,wheels is top notch. Will buy again.,2024-04-23,4.3,3.4,3.2,3.8,3.6,3.6
REV000136,PROD0002,Safari,2,negative,Not worth it at all. weight quality is disappointing.,2024-05-22,4.1,3.9,3.2,3.3,3.3,3.5
REV000137,PROD0002,Safari,3,neutral,Good for occasional use. limited colors is acceptable.,2024-05-03,4.4,2.8,2.9,3.3,2.8,4.0
REV000138,PROD0002,Safari,5,positive,"Used it for 3 trips, wheels still perfect.",2024-04-09,4.0,3.0,3.9,3.7,2.9,2.7
REV000139,PROD0002,Safari,2,negative,Poor quality weight. Expected better for this price.,2025-02-20,3.9,2.9,3.6,3.0,3.2,2.9
REV000140,PROD0002,Safari,4,positive,"Ordered for Goa trip, spacious exceeded expectations.",2024-09-26,4.5,2.7,3.4,3.4,2.9,3.5
REV000141,PROD0002,Safari,1,negative,Customer service is bad and zipper quality quality is poor.,2026-02-06,4.0,3.2,3.5,2.7,3.9,4.0
REV000142,PROD0002,Safari,5,positive,Superb wheels! My family loved it.,2024-11-28,4.0,3.5,3.9,2.6,3.4,3.3
REV000143,PROD0002,Safari,1,negative,Poor quality weight. Expected better for this price.,2025-10-03,4.9,2.6,3.8,3.7,2.8,3.6
REV000144,PROD0002,Safari,3,neutral,Decent product overall. zipper quality is okay.,2025-06-08,3.9,3.4,3.9,3.0,3.2,3.5
REV000145,PROD0002,Safari,1,negative,Regret buying this. weight is very bad.,2024-10-31,3.8,2.7,2.7,3.2,2.9,2.8
REV000146,PROD0002,Safari,2,negative,limited colors stopped working within a month. Waste of money.,2024-08-27,3.8,3.8,3.8,3.7,3.3,2.6
REV000147,PROD0002,Safari,1,negative,Returned the product. weight was defective.,2025-11-08,4.9,2.5,3.1,3.2,2.9,3.0
REV000148,PROD0002,Safari,1,negative,Returned the product. limited colors was defective.,2025-07-07,4.5,2.6,2.7,3.0,3.1,3.3
REV000149,PROD0002,Safari,3,neutral,Decent product overall. weight is okay.,2024-04-10,4.5,3.9,3.1,2.8,3.9,3.2
REV000150,PROD0002,Safari,5,positive,"Ordered for Goa trip, durable material exceeded expectations.",2025-01-30,4.7,3.7,3.6,3.5,3.4,3.7
REV000151,PROD0002,Safari,2,negative,The limited colors is terrible. Do not buy!,2026-01-11,3.6,3.3,3.3,3.4,2.7,3.0
REV000152,PROD0002,Safari,1,negative,Quality has gone down. zipper quality is not as advertised.,2024-05-04,4.2,3.8,3.2,2.6,2.7,3.1
REV000153,PROD0002,Safari,2,negative,Very disappointed with the weight. Broke after first use.,2024-05-12,4.1,3.7,3.6,3.4,2.6,3.0
REV000154,PROD0002,Safari,4,positive,The durable material is excellent! Very happy with this purchase.,2026-01-20,3.9,2.8,2.7,3.5,3.6,3.9
REV000155,PROD0002,Safari,5,positive,durable material is top notch. Will buy again.,2024-12-27,3.6,3.9,3.8,2.7,3.8,2.7
REV000156,PROD0002,Safari,3,neutral,Average quality. limited colors could be better.,2025-02-22,4.6,2.8,2.5,2.5,2.9,3.5
REV000157,PROD0002,Safari,2,negative,zipper quality broke during my very first trip. Very upset.,2025-08-08,4.0,2.9,3.9,3.6,2.7,3.7
REV000158,PROD0002,Safari,4,positive,Really impressed with the wheels. Worth every rupee.,2025-07-28,3.7,2.6,3.4,3.6,2.6,3.6
REV000159,PROD0002,Safari,4,positive,The wheels is excellent! Very happy with this purchase.,2024-09-25,3.7,4.0,2.9,3.9,3.4,3.4
REV000160,PROD0002,Safari,3,neutral,Good for occasional use. zipper quality is acceptable.,2025-05-07,4.8,4.0,3.3,3.1,2.9,3.3
REV000161,PROD0002,Safari,1,negative,Customer service is bad and limited colors quality is poor.,2024-06-28,4.3,2.6,3.0,3.5,3.1,3.3
REV000162,PROD0002,Safari,2,negative,Customer service is bad and weight quality is poor.,2025-10-30,3.8,3.3,2.9,2.8,3.8,2.7
REV000163,PROD0002,Safari,4,positive,durable material is top notch. Will buy again.,2024-09-02,4.3,2.7,2.9,2.8,3.5,3.9
REV000164,PROD0002,Safari,3,neutral,Average quality. limited colors could be better.,2025-12-27,3.6,3.1,3.4,2.6,2.6,3.7
REV000165,PROD0002,Safari,1,negative,Returned the product. zipper quality was defective.,2024-11-26,4.0,3.9,2.8,2.8,3.6,3.6
REV000166,PROD0002,Safari,3,neutral,Okay product for the price. limited colors is standard.,2025-07-26,4.6,3.1,2.9,3.0,2.9,3.2
REV000167,PROD0002,Safari,2,negative,Not worth it at all. weight quality is disappointing.,2025-07-07,4.8,3.2,3.7,3.6,3.6,3.0
REV000168,PROD0002,Safari,5,positive,Best luggage for the price! build quality is outstanding.,2025-02-01,4.8,3.6,2.5,3.3,3.4,3.6
REV000169,PROD0002,Safari,4,positive,wheels is top notch. Will buy again.,2025-04-28,4.4,2.9,3.3,3.9,3.0,3.6
REV000170,PROD0002,Safari,5,positive,Amazing wheels for this price range. Value for money!,2024-12-15,3.8,3.6,3.2,3.9,3.3,3.5
REV000171,PROD0002,Safari,4,positive,The build quality is excellent! Very happy with this purchase.,2026-01-14,4.1,3.8,2.8,3.6,2.5,3.3
REV000172,PROD0002,Safari,5,positive,The durable material is excellent! Very happy with this purchase.,2024-05-25,3.5,3.3,2.5,3.3,2.9,4.0
REV000173,PROD0002,Safari,5,positive,Really impressed with the build quality. Worth every rupee.,2025-09-29,4.3,2.9,3.4,2.9,3.0,3.7
REV000174,PROD0002,Safari,5,positive,The wheels works perfectly. Highly recommended!,2024-12-16,3.9,3.7,2.6,4.0,3.5,2.5
REV000175,PROD0003,Safari,5,positive,"Great build quality, exactly what I needed for my travels.",2026-02-02,3.6,3.8,3.5,3.0,4.0,4.0
REV000176,PROD0003,Safari,3,neutral,Average quality. zipper quality could be better.,2026-02-16,4.9,3.5,3.4,2.9,3.9,3.5
REV000177,PROD0003,Safari,4,positive,The spacious is excellent! Very happy with this purchase.,2025-09-29,4.9,3.4,3.6,3.6,3.1,2.6
REV000178,PROD0003,Safari,4,positive,"Ordered for Goa trip, durable material exceeded expectations.",2024-08-28,4.0,3.6,2.7,4.0,3.6,3.3
REV000179,PROD0003,Safari,3,neutral,Not great not terrible. zipper quality meets basic needs.,2026-02-05,3.8,2.6,3.4,3.4,3.4,4.0
REV000180,PROD0003,Safari,5,positive,The durable material works perfectly. Highly recommended!,2024-12-25,4.0,3.9,3.1,3.5,3.5,2.6
REV000181,PROD0003,Safari,4,positive,Superb build quality! My family loved it.,2026-01-15,3.7,3.6,3.5,3.6,3.0,2.7
REV000182,PROD0003,Safari,5,positive,Superb spacious! My family loved it.,2024-12-31,3.7,2.6,3.1,3.3,3.3,2.7
REV000183,PROD0003,Safari,4,positive,spacious is top notch. Will buy again.,2024-07-28,3.5,3.1,3.7,3.6,3.3,4.0
REV000184,PROD0003,Safari,4,positive,"Great durable material, exactly what I needed for my travels.",2024-04-29,3.7,3.0,3.2,2.6,3.2,3.1
REV000185,PROD0003,Safari,4,positive,The spacious works perfectly. Highly recommended!,2025-03-27,4.6,3.2,3.4,3.2,2.7,2.5
REV000186,PROD0003,Safari,5,positive,Amazing durable material for this price range. Value for money!,2025-04-28,4.1,3.7,3.5,3.4,3.0,3.4
REV000187,PROD0003,Safari,2,negative,Customer service is bad and zipper quality quality is poor.,2025-05-14,5.0,2.9,3.5,3.2,3.4,2.9
REV000188,PROD0003,Safari,5,positive,Best luggage for the price! build quality is outstanding.,2025-03-23,3.8,4.0,2.8,3.7,2.5,3.6
REV000189,PROD0003,Safari,3,neutral,Good for occasional use. weight is acceptable.,2025-08-29,4.7,2.6,3.8,3.7,3.5,2.7
REV000190,PROD0003,Safari,5,positive,wheels is top notch. Will buy again.,2024-05-26,4.7,2.6,4.0,3.2,3.1,3.3
REV000191,PROD0003,Safari,3,neutral,Okay product for the price. weight is standard.,2024-04-22,3.6,4.0,3.6,3.7,3.4,3.9
REV000192,PROD0003,Safari,4,positive,"Great spacious, exactly what I needed for my travels.",2024-05-27,4.5,2.6,4.0,3.5,3.1,3.6
REV000193,PROD0003,Safari,3,neutral,Decent product overall. zipper quality is okay.,2025-01-15,3.6,2.8,3.6,3.3,3.5,2.8
REV000194,PROD0003,Safari,5,positive,Amazing wheels for this price range. Value for money!,2024-05-05,5.0,3.2,2.9,3.9,2.6,3.7
REV000195,PROD0003,Safari,2,negative,weight broke during my very first trip. Very upset.,2025-05-16,4.7,3.3,3.0,2.6,3.6,3.2
REV000196,PROD0003,Safari,4,positive,The build quality is excellent! Very happy with this purchase.,2024-04-03,4.8,3.5,3.5,2.7,4.0,2.9
REV000197,PROD0003,Safari,4,positive,"Used it for 3 trips, durable material still perfect.",2025-04-27,3.8,3.1,2.8,3.5,3.1,2.5
REV000198,PROD0003,Safari,4,positive,durable material is top notch. Will buy again.,2024-12-26,3.5,2.8,2.9,3.6,3.7,3.4
REV000199,PROD0003,Safari,1,negative,weight stopped working within a month. Waste of money.,2025-03-22,4.2,2.9,3.8,3.3,3.5,3.4
